"FSC-A","FSC-H","SSC-A","B515-A","G610-A","V450-A","Time"
88094.5,65275,93217,126.36,89.1,2189.22,5.72556
129971,90495,98290.9,139.62,82.08,897.45,5.77819
152546,102755,100800,144.3,67.5,48.36,5.77819
86791,66375,82289.2,113.1,74.52,1408.95,5.78871
88572.4,65686,72603.2,103.74,130.14,2559.36,5.79713
135021,96168,101443,145.08,99.9,1781.88,5.80871
64439.5,43993,114981,128.7,104.76,1592.16,5.87607
96031.6,80994,73116.4,117,306.18,3033.66,5.88449
127675,93636,91692.1,108.42,142.56,3385.2,5.8887
125594,91767,77471.2,139.62,96.66,1845.12,5.89712
146874,98504,162738,216.84,187.92,2963.91,5.89922
118832,87738,76644.4,117.78,100.44,3630.72,5.92448
129751,100689,87289,92.82,98.28,88.35,5.92659
72080.4,53157,80020.2,117,120.42,2022.75,5.93922
87898.6,56692,107565,116.22,91.8,4468.65,5.94238
98313.1,69693,82215.9,95.16,54,59.52,5.94764
85568.9,54599,100538,108.42,97.74,2351.97,5.94869
51336.6,35056,104812,86.58,84.78,1108.56,5.95185
92570.6,63951,88995.7,87.36,84.24,106.02,5.95501
98765.8,72320,146473,170.82,111.24,2145.51,5.96974
101432,76010,80818.9,113.88,98.28,1484.28,5.98763
149111,106777,101168,177.06,109.62,2623.53,5.99816
172308,116124,115134,194.22,96.12,2714.67,6.0171
66941.4,50831,77400.2,90.48,91.8,4370.07,6.02763
171861,116222,118243,146.64,101.52,928.14,6.06341
123244,91952,85289.1,145.08,100.98,2237.58,6.06657
