"FSC-A","FSC-H","FSC-W","SSC-A","BL1-A","RL1-A","RL2-A","VL1-A","YL2-A","Time"
310722,211416,93,282036,-38,90,54,40,4669,0.83143
285617,211748,94,173367,-16,-60,-5,3254,43,0.83143
457371,279474,114,264921,-116,6,30,4997,153,0.83143
426387,260873,112,343428,-35,48,26,4673,135,0.832428
407655,263834,100,398929,42,19,62,6223,9,0.832428
379735,239688,103,289209,-2,100,42,5847,110,0.833426
279357,193803,102,209770,43,12,46,3386,34,0.834424
299062,201994,104,237742,109,6,-30,188,41,0.834424
318065,205754,97,284383,14,34,84,4129,36,0.837418
355514,245650,95,207486,-31,-17,46,3490,-71,0.837418
332865,223029,94,223338,-152,-15,91,2260,77,0.837418
212674,160377,85,236432,-81,6,-13,2114,101,0.837418
441583,256872,111,292989,65,-7,62,4936,-41,0.841411
401210,262386,95,300451,47,87,19,109,-28,0.841411
272405,205502,89,148424,54,28,16,2481,60,0.848397
445817,283588,105,270831,56,58,-5,5052,89,0.850394
349946,243449,97,221689,61,-13,-22,6058,-40,0.857381
275438,168276,99,369686,116,20,-19,5693,-20,0.861373
294773,188479,99,237544,26,0,77,117,151,0.861373
515359,289338,113,562074,295,81,170,6725,343,0.862371
304343,211248,97,203252,52,37,-6,3071,-22,0.863369
378641,233020,104,333597,-7,-7,8,3239,31,0.865365
379084,239946,100,312687,95,51,68,5874,39,0.865365
450591,260086,107,461082,145,9,29,9699,11,0.866364
326854,227763,104,124232,-35,79,29,2754,47,0.867362
392855,256490,96,211443,80,25,-28,6818,218,0.867362
319307,206140,95,287659,-36,66,20,2658,52,0.867362
423139,273044,112,435810,99,47,81,8238,59,0.869358
381064,245710,108,347673,79,0,0,4214,88,0.869358
368800,242472,101,349676,40,-38,16,4179,152,0.872352
237479,186956,92,115505,7,-42,-9,2509,6,0.872352
361401,217430,103,545257,85,87,-14,248,37,0.877343
346160,230197,95,278582,26,-32,56,115,30,0.877343
298892,205565,92,151910,69,76,32,5169,-47,0.877343
407086,261566,104,300040,65,9,3,6862,-17,0.879339
392738,251285,100,261243,78,-61,44,4534,115,0.879339
316283,233154,96,182033,-49,37,84,5355,0,0.881335
461593,247886,108,481032,19,151,59,9517,69,0.885328
438670,269173,104,283094,-57,5,-40,5582,15,0.885328
390113,251017,104,303689,40,39,16,6055,-3,0.888322
319848,211711,95,260974,-35,8,-7,15850,11,0.88932
295019,213656,92,193267,66,12,64,4259,-36,0.892315
271824,171329,95,372255,76,60,17,3213,-47,0.893313
301681,206252,94,168291,150,-17,-4,2942,-5,0.893313
304361,211185,95,218491,48,-10,71,2836,-49,0.895309
395722,253434,114,218842,-10,34,3,3992,-60,0.895309
380888,248717,103,333875,19,40,56,3317,44,0.896307
547546,301224,111,440178,23,-9,39,10184,36,0.900299
313446,216450,96,223238,121,71,-36,4918,30,0.900299
336396,205893,96,274174,65,51,-30,4326,-14,0.901298
414166,256741,101,208551,73,67,-53,58,13,0.901298
271963,167712,101,325117,122,12,32,1009,20,0.902296
430509,252802,116,303676,181,60,163,8313,170,0.904292
389011,260747,101,187163,32,49,48,203,16,0.904292
308382,214462,90,179788,102,52,-2,104,63,0.904292
334821,231153,97,165349,107,15,68,3290,72,0.908284
472853,283860,106,344381,47,12,69,8425,117,0.909283
390878,258589,109,208246,22,43,27,7037,23,0.910281
323079,224460,97,233383,31,-3,-30,22,12,0.910281
452101,263541,111,344270,65,-70,-55,7046,80,0.914273
293448,212104,97,205817,-21,8,51,5117,27,0.915271
318186,226706,104,179016,-21,16,11,7673,34,0.916269
413281,254703,112,256322,179,94,-33,4990,40,0.917267
417932,267056,108,266963,30,8,8,4293,52,0.919264
464275,286149,114,313201,99,21,-37,5216,44,0.923256
359368,229892,109,319096,40,65,1,3793,71,0.924254
413370,268431,111,298311,-2,26,126,165,14,0.928247
375818,268085,97,197044,79,-1,14,2669,60,0.929245
435277,251423,105,308271,37,-4,17,1008,70,0.933237
369148,228550,110,275773,80,41,92,10352,0,0.933237
373679,256317,98,177713,65,2,7,3820,-1,0.933237
373592,241771,105,256773,96,14,-72,3233,4,0.93723
402401,257474,98,280315,123,-58,21,2004,36,0.943218
348233,247333,99,200118,-29,14,59,3743,31,0.947211
234164,149314,92,274034,41,22,11,6624,18,0.947211
392649,234407,105,317600,84,-4,-26,7116,-32,0.951203
261624,173966,92,231355,137,-2,70,4504,100,0.951203
508790,274461,115,435800,164,43,92,8433,280,0.954198
298110,205145,103,251843,47,0,21,5870,-30,0.955196
277765,193733,94,231386,84,0,109,58,70,0.955196
428144,262794,117,300650,52,7,14,4196,-43,0.957192
424921,279945,105,334833,90,17,73,6731,59,0.95819
346824,203958,103,449565,156,61,8,3169,-2,0.960186
362915,235278,98,400983,44,31,14,4086,9,0.973162
387014,247582,101,288696,26,21,13,10267,-8,0.977154
177614,129591,88,221245,73,1,46,4595,-74,0.977154
372163,242343,108,238486,80,41,18,6635,-19,0.978152
258383,191739,92,123963,87,-9,26,1271,0,0.981147
282113,187573,104,271201,21,-72,23,5013,82,0.985139
332162,231822,101,213051,33,39,-16,-2,24,0.986137
361643,256495,95,224168,3,-9,-38,73,33,0.99013
366201,176671,114,314352,33,-49,29,62,51,0.992126
311133,206948,97,215214,-50,6,-21,3186,157,0.99512
323005,217038,99,247968,100,-1,-12,6301,130,0.997117
147492,82727,91,321104,265,136,215,5,338,1.00011
227444,159371,95,155787,34,-4,17,4187,17,1.00311
183274,145237,94,137518,65,23,72,1132,101,1.0041
174957,116842,90,287484,10,8,-28,2598,-29,1.01209
352772,198700,104,507707,128,-18,31,266,96,1.01508
350784,235370,102,278937,19,36,38,3712,72,1.01708
405261,264584,104,306036,53,7,-55,4355,-27,1.02107
458154,280792,114,352498,48,14,-16,8631,92,1.02207
329029,230491,100,256876,38,77,34,5861,28,1.02506
427904,243232,110,513706,25,61,-16,10297,81,1.02806
206149,139728,97,242221,-110,43,49,2397,78,1.02906
439791,264900,106,308131,38,34,-7,8794,213,1.03105
388041,231646,105,420015,120,22,-25,18325,30,1.03405
339516,238497,91,214427,-4,14,25,2767,18,1.03405
413346,268954,110,252095,-44,68,-19,176,82,1.03604
358853,244085,96,230869,85,34,-18,6063,48,1.03604
371032,245116,101,220041,4,45,16,3547,40,1.03904
372551,220509,104,418933,53,67,240,6322,316,1.03904
269004,195561,88,215174,11,-2,24,5155,27,1.03904
343639,235760,98,165177,20,75,33,6108,41,1.04503
383430,263161,97,207589,108,74,23,120,1,1.04503
293746,219447,89,166639,1,-6,-13,3575,-19,1.04503
385374,274456,106,217477,24,46,30,225,-77,1.04602
375399,238567,103,231700,-8,55,15,2488,16,1.04702
245088,173129,95,162110,61,21,0,3535,27,1.05401
327884,205868,107,259474,22,12,49,3534,-3,1.059
396047,251201,101,258473,16,-31,51,2844,0,1.06299
349571,231970,98,196583,48,-38,13,3769,77,1.06399
148883,90787,91,366034,-1,0,27,142,102,1.07297
218946,144789,96,264706,31,-24,-16,3931,-11,1.07397
342253,216627,107,315581,68,-12,26,8389,15,1.07497
391814,249116,102,305747,-5,33,-18,3982,27,1.07796
454079,235381,109,634733,89,38,48,12184,-33,1.08395
339510,241720,96,173709,-33,-8,-27,60,2,1.09194
336153,210686,101,363222,17,67,31,7466,-26,1.09593
417759,262996,106,226393,21,-39,72,5867,80,1.10092
333371,233918,95,216181,50,29,5,6070,32,1.10192
378602,246311,102,327539,94,13,-24,5058,53,1.11489
379487,258889,100,239390,88,13,10,7804,28,1.11489
269448,193001,94,191029,-21,-5,-28,3580,13,1.11789
331678,241570,92,186233,97,-16,6,3367,66,1.11789
272879,188474,102,174447,81,-17,5,4369,50,1.11988
395358,242421,101,273473,47,-12,-9,6643,-20,1.12587
345136,232253,96,199347,26,65,96,173,134,1.12587
313243,209360,105,191505,-3,31,53,2779,36,1.12587
194796,121810,92,299105,73,-10,-17,4422,19,1.12587
415255,252139,112,310405,103,19,58,5875,55,1.12787
325553,227754,94,188381,-41,56,49,4410,16,1.13486
233599,182372,84,112815,-3,47,16,4592,-1,1.13486
420417,241184,111,532587,97,77,96,5107,92,1.13985
335009,212925,99,231249,84,52,-6,5649,-56,1.13985
344475,234426,94,193821,-59,89,-40,4040,28,1.13985
352933,234006,99,200709,31,38,38,-55,56,1.14085
362128,251516,95,295499,-186,-56,41,4075,-35,1.14484
474474,291013,104,262417,132,61,83,5448,182,1.14484
459251,247452,117,478774,122,67,5,7273,48,1.14683
315948,183877,106,543168,-10,71,51,7103,-16,1.15083
313956,231296,96,151001,-58,-18,27,3237,65,1.15382
303200,185759,96,301640,1,-20,20,3002,-21,1.16181
335339,233090,96,198325,108,0,26,5064,-27,1.1628
234192,165806,92,278569,-38,59,83,4129,85,1.1658
400685,261555,103,292239,122,87,-20,6371,19,1.17478
260976,174049,96,185260,56,17,27,176,38,1.17478
327344,227400,105,177524,-13,28,64,162,4055,1.17578
272472,193907,100,151936,69,24,7,4769,28,1.17977
327021,217139,98,162296,12,-43,10,3888,-79,1.18077
446394,259406,115,374265,163,62,107,4387,66,1.18676
250210,180941,89,198962,-15,-17,-18,2604,39,1.18676
293896,190634,105,369834,-16,217,91,47,14129,1.18776
427005,251484,104,489838,106,130,118,406,44,1.18776
395410,236328,112,282490,117,-15,-7,179,72,1.19175
378071,257804,98,342649,131,18,64,7377,74,1.19175
393172,242785,106,330784,144,-17,25,5799,122,1.19275
387669,236756,103,222047,-42,-2,-47,2347,17,1.19275
424146,247490,113,545773,154,-9,7,9870,104,1.19674
402932,237732,101,366227,-53,6,27,10471,67,1.19674
402177,252387,103,300974,33,22,27,3510,76,1.19674
205168,164816,95,105720,42,-18,20,2877,66,1.19774
220379,132543,95,378345,4,0,-28,5287,-12,1.20173
272972,204456,100,138104,54,-18,19,3565,-39,1.20273
431375,247167,104,345166,78,76,44,4047,78,1.20472
285391,196832,91,251046,77,81,-1,2684,74,1.20472
300302,185704,104,414906,-11,11,-80,222,-4,1.20772
444468,227327,111,661344,227,72,39,1286,212,1.21071
434951,265620,106,317947,8,81,33,5140,-14,1.21171
266036,156384,108,280389,31,-21,31,4988,-25,1.21371
395219,233075,109,394258,102,26,112,7936,30,1.22069
416063,256172,107,266072,67,-67,91,258,-34,1.22568
359118,228901,103,449972,636,178,227,505,318,1.23467
355574,223250,98,287029,75,46,3,5158,-66,1.23467
375386,246018,108,287004,0,-8,1,5574,44,1.23666
346781,233696,97,184073,50,0,-28,4162,60,1.23666
