"FSC-A","FSC-H","SSC-A","B515-A","G610-A","V450-A","Time"
140987,102426,112393,156.78,16134.7,341.31,3.10193
98883.5,79185,71448.8,91.26,190.08,174.84,3.10309
49055.8,39824,102965,21.84,30.24,12.09,3.10309
112784,86494,92299,87.36,706.86,208.32,3.1054
109808,84147,88845.1,133.38,26694.4,236.22,3.11349
147741,103806,130354,144.3,19329.3,530.1,3.11927
69933.2,55139,73040.8,80.34,162.54,197.16,3.12505
92185.9,67542,112719,105.3,159.3,269.7,3.1262
124103,89602,99389.2,1307.28,15790.7,368.28,3.13429
49645.2,42058,86095.6,3.12,19.98,-11.16,3.13545
66674.4,54167,93008,17.94,51.3,24.18,3.13776
120552,95253,76558.6,112.32,6622.56,283.65,3.14007
127159,96693,69926.2,139.62,627.48,142.29,3.14007
75437.9,62091,61900,35.88,89.64,13.95,3.14932
43375,37567,64637.8,21.06,29.7,21.39,3.1551
121508,92548,119008,1042.08,16196.2,418.5,3.15625
185025,119718,124763,167.7,23758.9,629.61,3.16434
99655.3,75738,85006.7,73.32,5650.02,219.48,3.18977
76686.1,57554,77675.5,74.88,416.34,238.08,3.19324
145881,98665,130005,195,173.34,469.65,3.19786
138606,95258,115856,118.56,6807.78,351.54,3.21057
101186,71210,78056.2,1737.06,10669.3,267.84,3.2256
128356,96767,106347,138.06,4143.42,268.77,3.23137
138792,95574,116746,106.86,2914.92,315.27,3.23137
91612.4,75917,64036.4,78,7633.44,154.38,3.25564
138416,105312,91955,117.78,2350.08,311.55,3.2568
59359.8,53022,98311.2,5.46,46.44,-4.65,3.27876
106956,82086,72767.8,73.32,1566,117.18,3.28223
125177,74523,159384,199.68,421.2,708.66,3.28223
58794.2,50199,131075,21.84,97.2,15.81,3.28338
82438.9,67043,63031,73.32,4537.62,184.14,3.28569
81977.5,63407,57163.1,59.28,17156.9,174.84,3.29032
91844.6,69242,74699.8,91.26,1354.32,185.07,3.29378
147337,111663,114431,150.54,1016.82,385.02,3.31805
120808,95548,77572.6,116.22,15848.5,290.16,3.33539
87408,65485,88499.6,450.84,6645.78,207.39,3.34926
125083,97753,110805,177.84,4733.1,436.17,3.35388
122791,94061,89293.6,108.42,2810.7,202.74,3.3585
101374,76923,67413.8,88.92,1041.66,179.49,3.3585
140412,103850,123234,131.82,261.36,274.35,3.3585
109901,82162,81800.9,115.44,223.02,182.28,3.36428
132617,94126,124414,111.54,40286.7,317.13,3.37815
136762,100871,117103,150.54,3008.34,434.31,3.37815
153709,116950,94685,117,3506.76,222.27,3.37931
122926,86168,102618,118.56,5429.16,350.61,3.38971
54852.9,43054,89876.3,3.9,57.78,-6.51,3.39202
100619,77135,112506,113.1,297,193.44,3.39548
120571,97734,75585.9,131.82,9142.74,285.51,3.3978
123868,93642,87902.1,120.12,402.84,379.44,3.40242
109872,82318,89219.5,117.78,8546.04,380.37,3.40589
95887.8,71603,87663.4,95.16,795.42,214.83,3.41167
63671.6,48400,48548.8,21.84,21.6,14.88,3.41744
84827,73707,48432.5,71.76,11410.7,148.8,3.42785
103225,79471,74937.7,95.16,640.44,343.17,3.429
102100,76786,67317.9,77.22,2167.56,87.42,3.44403
59948.4,43212,115283,39,96.66,13.95,3.45674
55604.2,40199,123798,10.14,46.98,-7.44,3.45905
123216,96673,87324.9,125.58,4298.4,282.72,3.46367
130168,98288,93956.5,129.48,159.3,353.4,3.46367
125786,83055,137480,1453.92,21948.3,465,3.47292
149577,105583,136036,140.4,5432.94,443.61,3.48216
110643,89372,71958.9,87.36,8422.38,248.31,3.49141
55453.3,46550,114487,5.46,36.18,-6.51,3.49372
93738.2,76807,81553.7,88.14,2153.52,199.95,3.4995
134030,99523,112518,103.74,10718.5,239.01,3.50181
84869.7,62074,92315.3,99.06,22316.6,273.42,3.50412
109454,88409,88137.7,88.92,7427.16,294.81,3.50528
120893,90282,113787,140.4,137.7,337.59,3.50643
106656,59503,112812,182.52,663.12,123.69,3.50874
132432,93268,115509,89.7,4170.96,293.88,3.51915
135681,107563,89471.5,131.82,156.6,216.69,3.54342
95894.9,74167,80549.8,92.04,802.44,358.98,3.55497
116456,78620,105951,88.14,14229.5,279.93,3.57
67773.3,52667,112642,39.78,83.7,13.02,3.57578
74716.6,45870,104864,103.74,218.7,256.68,3.57809
72006.1,55305,84977.1,79.56,1048.68,238.08,3.58733
104508,79312,84023.9,92.82,396.36,262.26,3.5908
91908.6,59783,104375,213.72,6502.68,38.13,3.59427
58608.5,48161,123303,12.48,76.14,4.65,3.59889
57094.9,50990,88410.7,32.76,103.68,-6.51,3.60351
155374,109835,131859,159.9,716.58,411.99,3.61045
118149,86787,102378,163.02,1581.66,425.01,3.61507
153069,108364,120584,176.28,1175.58,225.99,3.622
135847,103218,97624.8,118.56,34071.8,374.79,3.62316
62859.5,42871,101254,408.72,5101.92,149.73,3.62663
104179,78087,95145.2,115.44,5794.74,326.43,3.63703
64182,49926,133412,10.92,70.2,-10.23,3.67286
96364.2,71149,124468,107.64,258.66,169.26,3.67286
87570.7,68466,76106.9,86.58,108.54,211.11,3.6821
97068.9,78334,76473.5,805.74,12593.3,274.35,3.6821
106105,78979,95037.5,102.96,203.58,360.84,3.68441
119491,85951,91127.4,111.54,11585.2,281.79,3.7029
47770.5,43064,50008.1,6.24,36.72,-4.65,3.71215
128577,90504,117481,128.7,439.56,461.28,3.71446
83627.8,66794,86413.9,87.36,13858,131.13,3.73758
102202,81350,63860.2,74.88,16860.4,208.32,3.74798
110222,82997,97481.3,123.24,1321.38,290.16,3.75376
109639,85831,107223,120.12,1297.08,301.32,3.75376
94134,67687,90554.9,134.16,2936.52,152.52,3.75491
49040,45163,54223.3,7.02,33.48,-5.58,3.76069
127099,97723,81573.2,111.54,29096.3,313.41,3.76185
136572,100347,109383,134.94,8140.5,301.32,3.763
100678,74133,74455.7,92.82,2533.68,288.3,3.77225
106571,80543,86099.5,89.7,39904.4,282.72,3.78265
108163,84642,90307.6,73.32,8437.5,189.72,3.78843
129075,89199,96281.6,128.7,7340.22,399.9,3.79074
139058,105652,89967.5,127.92,7708.5,144.15,3.79305
133947,101590,89259.3,403.26,7885.08,319.92,3.79536
80045.2,52039,108872,39.78,137.16,16.74,3.81732
99378.1,81290,87732.1,88.14,4102.92,273.42,3.81732
