"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
22115.8,15753,92006.7,25276.5,18132,91359,39.36,1894.15,4443.19,74990.7,59.22,3256.2,14.56,29818.9,0.316695
34566,22000,102969,21388.1,15584,89944,9.02,79.12,163.4,56659.2,34.78,222.3,21.84,23855.1,0.316695
36422.4,17819,133957,22701.7,12287,121086,57.4,2531.41,6123.63,78092.7,117.5,10975.5,25.76,33764.1,0.316695
16704.1,12218,89598.9,13103.6,10426,82366.9,43.46,857.42,2429.93,69058.1,18.8,3483.9,7.28,12233.4,0.317762
24173.8,15635,101327,12286.1,9643,83498.8,11.48,2718.46,6712.3,56030.7,37.6,3918.6,22.96,23884.2,0.317762
53001.9,27802,124938,58723.5,35091,109672,82,1731.61,3739.71,72190.2,333.7,35991.9,-16.8,0,0.318828
17016.3,11832,94251.2,11717,8321,92282.6,22.14,610.17,1414.27,66109.6,36.66,4438.8,-5.6,0,0.318828
23303,10104,151147,25643,11009,152652,41.82,47.3,4.73,2583.21,87.42,9770.4,-14,0,0.318828
38238.9,20027,125132,30950.1,14111,143742,63.14,2335.33,5941.31,103694,127.84,7908.3,21.28,41017.8,0.318828
20339.9,12377,107699,24278.6,16973,93744.2,30.34,1176.05,2548.61,61519.6,44.18,5666.4,1.12,1529.17,0.318828
30583,18496,108363,18766.5,12280,100153,45.1,1840.83,3931.92,71817.8,84.6,6816.6,16.8,18350.1,0.318828
16806.3,6172,178454,52211.9,28252,121116,56.58,1254.31,2515.07,93017.9,163.56,22888.8,0,0,0.318828
38742.9,23323,108865,24780.4,16392,99073.2,40.18,1548.86,3262.84,68230.2,148.52,11359.8,-3.92,0,0.322027
29852.2,19046,102719,16418,12130,88703.4,13.94,1359.66,3191.46,67995.9,52.64,4185.9,-7.28,0,0.322027
23084.6,14569,103842,15870.3,11444,90883.8,22.96,36.55,33.11,17641.4,70.5,10207.8,-2.24,0,0.322027
17231.2,9163,123242,35007.4,19766,116070,31.98,3260.26,6841.3,84260.8,79.9,8199.9,2.8,3670.02,0.322027
26401.2,18462,93718.4,11561.2,9091,83343.2,21.32,1631.85,3820.55,63244.1,49.82,6123.6,8.96,11513.8,0.322027
17777.9,11804,98703.2,17882.6,12536,93486.9,13.94,1614.22,3669.19,80422.8,77.08,7769.7,3.36,4493.9,0.323093
17195.5,10987,102569,12995.4,10086,84440.2,18.04,1055.65,2094.53,64932.4,62.98,4870.8,3.92,3670.02,0.323093
19903.1,13568,96135.7,18891.2,13904,89042.8,-2.46,2294.91,5334.15,68250.5,103.4,5933.7,3.92,5838.66,0.325226
48300.7,23222,136312,35219.8,15834,145773,3.28,4920.49,10547,86944.8,195.52,18952.2,5.04,7864.32,0.326292
17464.3,11818,96847.2,24346.6,17059,93533,0,2213.21,4984.99,73929.9,72.38,4410.9,3.92,3618.33,0.326292
