"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
31090.5,20597,98924.5,17172.4,13513,83283.7,14.76,1947.04,4103.92,65423.1,76.14,3445.2,231.84,70017.8,0.433919
42970.9,30155,93388.9,14499.2,11423,83185,-2.46,2379.19,5399.51,58010.2,91.18,5421.6,83.44,55799.2,0.433919
28457.8,14994,124384,27478.2,18618,96724.2,-4.92,1287.85,3289.5,74363.8,112.8,6548.4,64.4,54109.2,0.435009
37288.3,25984,94047.3,22359.8,16964,86381.1,24.6,1115.42,3049.13,66212,100.58,6415.2,23.52,25690.1,0.435009
50046.5,30569,107293,28600.8,19588,95690.3,16.4,2902.93,6377.76,67176.6,105.28,4896,92.96,63460.7,0.435009
19527.2,11396,112297,24281,16260,97864.8,13.12,1693.77,3873.87,69026.1,54.52,3677.4,13.44,22020.1,0.436099
20804.7,14542,93759.9,25631.6,19274,87153.2,30.34,2261.37,2453.58,151268,65.8,4015.8,21509.6,81037.8,0.436099
26511.8,13331,130334,41013.1,25851,103974,20.5,1155.84,2355.11,78427.1,75.2,6151.5,34.72,36117.6,0.436099
27606.6,17058,106063,52136.4,31726,107698,156467,95.03,101.05,40628.3,113.74,1359.9,88.48,74341.4,0.43937
49340.9,28791,112313,21342.1,15299,91422.9,-9.02,2954.96,6989.65,60408,147.58,6945.3,28.56,43528.1,0.43937
15380.4,8418,119740,28908.3,19898,95212.2,0.82,1992.19,4470.71,69053.1,92.12,3183.3,15.68,22339.2,0.43937
36096.2,16905,139935,25123.2,11220,146744,-6.56,2205.04,4994.88,71629,85.54,5352.3,18.48,23290.5,0.44046
40536.3,24127,110108,21538.1,15307,92214.2,46.74,2331.46,5625.26,58489.1,118.44,8900.1,15.68,19029.7,0.442641
26127.5,12269,139562,43947.9,27961,103007,52.48,3390.12,8404.35,75855.6,176.72,11900.7,28,50972.4,0.442641
15600.2,8215,124452,30977.1,20191,100546,25.42,47.73,0.43,221.894,85.54,4203,23.52,26125.5,0.443731
19495,14147,90310.6,15623.5,11839,86485.3,33.62,1544.56,3739.71,67405.3,80.84,5524.2,8.96,12493.7,0.444821
11243.4,8073,91273.1,22657.4,15833,93783.7,14.76,1038.88,2726.2,71067.7,46.06,2689.2,143.36,52195.8,0.444821
14613.2,10101,94811.5,21935,15237,94344.8,47706,2601.07,3450.75,147328,49.82,378,25271.1,90595.1,0.445912
68333.3,37334,119952,59920.7,35514,110575,-13.12,6821.52,15624.5,72524,212.44,16102.8,31.36,48933.6,0.445912
38882.2,19704,129323,65741,29445,146320,34.44,2646.22,6243.6,99051.2,182.36,12522.6,21.28,37692.1,0.447002
21975.1,12375,116377,27509.4,19380,93026.5,-2.46,1741.5,3830.44,64022.4,46.06,3389.4,-1.12,0,0.449182
27685,19356,93736.5,13245.5,10661,81423.4,19.68,1072.42,2651.38,58922,27.26,1818,12.32,24466.8,0.452453
28403.9,17673,105329,14364.8,11245,83718,-0.82,3550.08,8403.92,64191.1,99.64,4212,28.56,58490.9,0.452453
40822.6,23926,111818,25625,16698,100573,80.36,5590.86,6884.3,147297,177.66,11239.2,52123.1,80394,0.454634
34965.7,23716,96623.1,14184.4,11092,83806.9,26.24,1008.78,2157.74,50830.2,67.68,3367.8,-14.56,0,0.455724
40409.6,24046,110134,22436,16003,91880.7,27.06,3172.11,7392.56,71679.1,176.72,7355.7,56,71961.1,0.460085
